driverId,week,hours-logged,miles-logged
407,32,61,1300
133,24,51,1500
374,27,75,700
979,1,59,3600
653,51,78,3300
443,34,62,700
643,26,61,400
942,46,57,1900
354,31,67,3100
150,15,53,200
551,23,80,300
106,22,70,2400
317,50,50,2200
840,7,62,0
373,15,71,1600
651,37,77,3800
329,45,50,2900
757,9,54,0
618,14,74,2200
558,52,76,2400
672,10,58,1300
756,41,58,200
220,49,78,500
481,47,56,2300
428,5,57,2100
899,28,53,100
281,26,60,4000
940,5,58,3800
596,38,63,1700
98,8,73,1800
376,20,72,200
442,46,80,0
782,28,75,1000
989,41,75,700
468,25,52,400
60,4,67,1500
111,41,67,3600
959,16,79,2200
496,2,64,1300
114,34,75,2800
983,19,67,300
182,15,69,200
506,6,66,300
677,23,75,3800
213,9,68,2500
664,3,73,100
231,13,65,3500
874,13,54,3500
12,52,54,3300
145,25,61,4000
185,2,73,3300
509,51,72,200
80,26,58,2600
363,43,60,2700
460,26,73,1200
951,41,76,2400
928,28,50,2400
113,25,72,2900
278,30,58,600
171,33,78,2800
98,12,58,2900
669,43,53,2000
364,10,51,600
876,22,62,1700
422,29,79,900
369,12,65,2400
73,43,73,400
124,19,66,3500
634,29,61,100
117,12,54,600
870,7,55,1800
779,34,72,900
551,8,61,2700
752,41,68,800
572,12,76,500
411,49,51,400
484,34,56,2700
423,18,58,900
960,3,57,3500
624,19,50,200
111,37,68,3200
648,42,57,3300
487,6,59,0
797,26,72,3900
830,48,80,2900
43,48,59,1400
238,19,60,1300
951,22,66,3500
728,34,65,2600
543,21,54,3400
761,36,50,300
162,40,66,1000
521,23,54,3100
399,35,79,1300
938,50,69,500
903,2,61,300
816,30,56,1000
847,12,73,2600
17,45,76,3100
553,37,62,3300
853,2,74,700
216,38,67,1500
103,43,77,2700
20,36,50,3000
332,41,52,1400
138,1,61,1000
42,20,64,3000
322,48,63,200
118,47,76,1200
508,29,50,2300
638,40,77,2700
544,24,77,0
161,49,76,3300
569,21,54,0
70,33,70,3100
849,43,68,2700
121,16,66,1100
355,6,78,200
958,30,65,3200
179,23,72,1300
337,33,71,1600
405,46,64,400
378,48,53,1600
415,36,62,1300
926,48,58,3700
565,13,79,300
694,45,61,1500
550,44,75,700
917,16,68,2600
72,14,69,1000
21,40,53,700
1001,8,58,2400
549,24,59,1200
743,21,71,300
309,3,52,1600
979,4,57,100
230,35,72,3600
389,18,77,2200
472,10,52,2300
858,34,61,1900
114,42,80,700
454,36,62,2300
654,29,67,500
814,24,52,1600
971,40,72,900
512,21,60,400
172,38,73,2300
741,6,68,2700
724,18,59,2300
395,8,58,800
10,50,78,2600
463,44,50,600
920,4,76,2700
772,46,59,2600
756,43,79,1000
412,45,52,500
757,37,54,2100
391,35,64,3700
425,4,70,2300
579,11,64,400
307,19,55,1500
954,39,58,300
480,15,72,2500
413,21,60,2600
927,22,73,3700
278,33,61,3000
43,20,58,1200
284,1,70,3700
541,1,69,1800
637,4,56,1300
110,34,56,2900
686,17,68,2000
315,11,52,3300
490,39,68,900
549,41,79,2200
124,16,71,0
470,8,53,2700
588,1,75,500
670,21,58,2600
985,51,74,3800
965,28,53,300
300,3,54,700
906,34,61,1800
181,33,56,100
78,52,63,1200
974,13,76,1100
77,47,56,1500
492,45,71,100
516,35,65,1700
979,35,78,0
146,1,67,3400
167,3,67,2600
590,33,51,2800
888,52,71,300
591,13,68,3600
607,18,71,1200
492,46,66,1500
709,48,55,1800
95,5,80,4000
208,13,69,2400
678,11,60,300
344,29,73,400
59,34,50,3100
734,23,73,1800
755,25,63,1200
862,17,60,600
114,16,51,2200
521,32,55,1600
542,10,68,3200
868,38,62,3600
938,32,71,2000
711,41,78,1700
712,9,71,700
290,26,65,2900
318,44,72,2900
33,35,52,1700
539,37,59,3500
788,26,66,2600
572,31,76,4000
586,40,58,1800
184,45,62,900
789,5,67,3500
181,3,73,2600
750,10,80,0
291,37,58,300
702,40,78,2000
751,7,58,0
172,27,73,1000
755,28,52,2900
417,40,72,3700
199,25,80,0
324,34,52,2000
33,12,60,3100
780,11,51,2400
864,39,79,3200
913,8,74,3700
418,37,74,1000
231,45,57,3100
308,40,68,3300
820,52,80,500
532,43,57,3900
577,31,52,500
653,1,68,1400
683,51,57,2900
890,7,71,2400
454,19,69,3100
621,25,74,1500
372,15,68,2600
387,8,53,1800
702,52,61,2700
298,43,78,1700
863,46,62,2100
43,41,68,1900
462,2,61,3000
298,51,73,300
791,7,53,1900
232,31,62,2800
384,36,69,1300
731,51,51,1800
900,52,64,2800
783,23,63,1700
391,3,75,3900
153,11,52,3400
437,21,77,3000
788,10,74,2300
458,45,76,3800
171,52,65,3100
631,38,52,4000
890,20,63,3000
142,46,55,3300
536,32,70,1900
761,41,75,900
440,35,76,3900
84,10,62,3700
516,37,64,1900
746,20,76,1600
896,29,69,3800
779,29,75,0
573,45,68,1500
223,33,69,2500
863,21,65,1000
808,51,63,400
152,50,74,3000
728,12,53,2600
850,3,51,2400
299,39,75,300
478,10,75,400
781,14,57,2600
753,46,56,700
617,22,51,200
187,20,52,2700
941,15,57,1700
925,1,50,1200
109,17,80,700
515,25,76,3500
46,4,58,1100
611,51,75,100
217,41,63,400
628,47,70,3500
403,14,70,2800
159,30,74,2900
431,34,58,2800
897,30,58,3800
11,52,60,1800
161,31,80,300
836,26,74,3900
890,41,63,3700
648,39,58,2100
327,6,51,900
958,47,52,600
937,48,73,3700
336,19,72,300
223,5,59,2400
136,40,71,3900
398,35,68,3300
362,8,68,2700
821,27,66,800
521,41,70,2700
74,8,65,1100
861,10,62,2800
668,49,58,3100
515,11,68,1000
947,25,61,3400
916,48,74,2200
634,1,72,2400
986,21,57,2600
136,17,60,2800
680,41,62,2300
831,9,68,4000
383,50,79,2800
256,28,73,2300
827,10,52,2100
74,24,71,3700
385,11,53,1000
288,26,63,1700
260,18,72,3700
775,46,71,1300
925,12,77,1900
689,24,65,1900
694,51,62,2500
411,9,71,1400
835,44,58,3600
537,11,62,3300
579,41,57,100
786,32,69,2400
596,51,58,2800
60,10,76,3800
453,16,78,1400
155,49,61,1200
544,31,52,3100
73,33,52,2300
669,5,63,3500
416,12,55,2100
454,19,68,0
455,52,50,2300
515,20,69,1000
359,40,67,300
825,2,76,800
363,3,74,2300
682,25,55,3200
282,26,76,2900
575,4,68,4000
169,15,65,2900
585,6,52,500
929,35,80,300
960,30,76,2000
700,2,53,1900
344,10,68,1100
803,33,54,3700
805,30,67,200
824,34,54,300
